number,name,earnings in USD,Number of major tournaments won,Number of second place placing,number of third place placings,number of regional tournaments won
536,Raxxo,"$25,905",2,8,2,0
537,HustlinbeasT,"$25,901",5,5,6,0
538,Sharp,"$25,896",3,0,3,0
539,Nevan,"$25,861",2,1,0,0
540,Nate,"$25,736",5,6,0,0
541,Kuzan,"$25,732",1,1,0,0
542,Ronop,"$25,651",3,1,2,0
543,dyNquedo,"$25,518",3,0,3,1
544,Garvey,"$25,494",0,1,0,0
545,Vasilii,"$25,491",0,0,1,0
546,Skeanz,"$25,400",5,6,3,0
547,Enso,"$25,336",0,0,1,0
548,Teeen,"$25,309",0,0,1,0
549,Brandini,"$25,200",3,2,0,0
550,cvMax,"$25,177",1,1,0,1
551,Xiyang,"$25,155",1,1,1,1
551,scarra,"$25,100",1,3,5,0
553,Imaqtpie,"$25,100",1,3,5,0
554,Paz,"$25,031",4,5,3,1
555,Chippys,"$24,912",4,2,4,0
556,Trymbi,"$24,856",2,2,0,0
557,Winston,"$24,840",4,2,2,0
558,Blanc,"$24,824",1,0,0,1
559,Shadow,"$24,770",1,1,1,0
560,Sangyoon,"$24,759",1,1,1,0
561,Move,"$24,700",3,1,0,1
562,Pridestalkr,"$24,675",0,1,3,0
563,Zantins,"$24,486",4,0,0,1
564,CandyPanda,"$24,480",0,2,2,0
565,Shook,"$24,450",1,0,0,1
566,Wardain,"$24,342",0,2,1,0
567,Pilot,"$24,274",1,0,1,0
568,PDD,"$24,180",1,1,0,0
569,NikSar,"$24,172",1,0,0,0
570,Cinkrof,"$24,171",4,4,2,0
571,Untara,"$24,063",0,1,0,0
572,Big,"$24,000",4,0,0,0
573,WhiteKnight,"$23,949",4,1,0,0
574,Lurox,"$23,934",2,3,4,0
575,Deádly,"$23,921",4,6,1,0
576,Kingen,"$23,910",1,0,0,1
577,Sky,"$23,792",1,0,1,1
578,TinOwns,"$23,787",6,4,0,0
579,Damonte,"$23,763",1,2,2,0
580,Kaas,"$23,727",7,1,2,0
581,GBM,"$23,725",3,1,0,1
582,Abbedagge,"$23,546",2,2,2,1
583,Thaldrin,"$23,477",5,0,0,1
583,Zhuo,"$23,353",2,0,0,0
583,illuSioN,"$23,300",1,1,0,0
586,Xico,"$23,284",2,2,1,0
587,Y1han,"$23,228",0,1,0,0
588,Sacre,"$23,147",5,4,1,0
